Jak z niemieckiego nazywa się ościeżnica do której przymocowane są drzwi?	futryna
Czyje przywileje ograniczała Wielka Karta Swobód?	króla	monarchy	króla Jana bez Ziemi
Jak nazywamy osobę, która bezprawnie, samowolnie przywłaszcza sobie władzę albo stanowisko?	uzurpator
Jak nazywa się największy bezbarwny szlifowany diament na świecie, wydobyty w 1849 r. i przekazany królowej Wiktorii?	Cullinan	Wielka Gwiazda Afryki
Sahara Zachodnia posiada duże złoża miedzi, fosforytów czy uranu?	fosforytów
Kto jest autorem powieści historycznej „Popioły”?	Stefan Żeromski
Jak nazywa się nauka o bakteriach, wirusach i innych mikroorganizmach?	mikrobiologia
W którym filmie Federico Felliniego głównym bohaterem jest Marcello Rubini?	„La Dolce Vita”	„Słodkie życie”
Czy węgorz może być elektryczny?	tak
Czy bobsleje posiadają kierownicę i hamulce?	tak
Które zwierzę jest symbolem bessy na giełdzie?	niedźwiedź
W którym polskim powstaniu brał udział Żyd Berek Joselewicz?	w Powstaniu Kościuszkowskim
Podać polską nazwę pierwiastka o łacińskiej nazwie sulfur?	siarka
Jak nazywa się rodzina roślin, do której należą groch, fasola, łubin?	motylkowate	bobowate
Jak nazywał się dokument wydany w 1215 r. przez Jana bez Ziemi?	Wielka Karta Swobód
Jaki przydomek nadał Diderot służącemu Kubusiowi w swojej powieści?	Fatalista
Według Jana Brzechwy gdzie rośnie trzcina, w której brzmi chrząszcz?	w Szczebrzeszynie
Na której wyspie Zeus ukrył porwaną przez siebie Europę?	na Krecie
Jak nazywają się dwie liczby rzeczywiste, których wynik po dodaniu wynosi zero?	liczby przeciwne
Jak brzmi oficjalna forma, w jakiej zwracamy się do wiceministra?	panie ministrze
Jak nazywa się lalka teatralna nakładana na dłoń i poruszana palcami aktora?	pacynka
Jak nazywa się rozrywkowa dzielnica Paryża, położona na najwyższym wzgórzu?	Montmartre
W którym amerykańskim mieście znajdują się korty tenisowe Flushing Meadows?	w Nowym Jorku
Jak nazywała się policja polityczna w III Rzeszy?	gestapo
Co znaczą słowa „Et tu, Brute, contra me”?	i ty, Brutusie, przeciw mnie
Jak ma na imię amerykański aktor, syn Kirka Douglasa?	Michael
Która europejska stolica leży najbliżej polskiej granicy?	Berlin
Które miasto jest stolicą województwa podkarpackiego?	Rzeszów
Jak z łaciny nazywa się ćwiczenie ortograficzne polegające na zapisywaniu tekstu?	dyktando
Jak z francuskiego nazywa się oficjalne zaprzeczenie albo sprostowanie jakiejś wiadomości?	dementi
Jak z francuskiego nazywa się czytanie nut głosem?	solfeż
Kto w 1937 r. wyprodukował film pt. „Królewna Śnieżka i siedmiu krasnoludków”?	Walt Disney
Jak nazywała się twierdza u ujścia Zbruczu do Dniestru, niedaleko Kamieńca Podolskiego?	Okopy Św. Trójcy
Jak nazywał się program gospodarczy proponowany przez Michaiła Gorbaczowa?	pieriestrojka
Który półwysep Azji jest największy?	Półwysep Arabski	Arabski
Dokończ przysłowie: „pierwsze koty za...”	płoty
Jakie łacińskie słowa są wygłaszane po wyborze papieża?	habemus papam
Uporczywie domagać się czegoś to wiercić komuś dziurę w...?	brzuchu
Jak miała na imię dziewczynka z Zielonego Wzgórza?	Ania
Czy Austria jest członkiem NATO?	nie
W którym mieście odbyła się koronacja Stanisława Augusta Poniatowskiego?	w Warszawie
Czy wapń jest metalem?	tak
O której porze dnia był pisany Dziennik Herlinga Grudzińskiego?	nocą
Jak nazywa się park romantyczny założony przez Helenę Radziwiłłową w 1776 r. niedaleko Nieborowa?	Arkadia
Po śmierci jakiego władcy diadochowie podzielili jego królestwo?	Aleksandra Macedońskiego
Na którym oceanie leży wyspa św. Heleny?	na Oceanie Atlantyckim	na Atlantyku
Czy Sahara znajduje się także na terytorium Algierii?	tak
Gdzie urodził się Arthur Schopenhauer?	w Gdańsku
„Moje lato na Downing Street” to pamiętniki którego brytyjskiego polityka?	Margaret Thatcher
Proszę podać polską nazwę organizacji gospodarczej o skrócie EFTA.	Europejskie Stowarzyszenie Wolnego Handlu
W którym roku odbyła się pierwsza próba jądrowa?	w 1945
Do kogo należał miecz Durendal?	do Rolanda
Kto w Panu Tadeuszu grał najlepiej na cymbałach?	Jankiel
Jak miał na imię cyrulik sewilski?	Figaro
W którym państwie ma główną siedzibę agencja prasowa DPA?	w Niemczech
Ile litrów mieści się w jednym decymetrze sześciennym?	jeden	1
Jak nazywa się duży zbiornik do przewożenia paliwa?	cysterna
Jak nazywa się autobus elektryczny zasilany z sieci zawieszonej nad drogą?	trolejbus
Jak nazywa się kąt między południkiem geograficznym a południkiem magnetycznym?	deklinacja magnetyczna
Podaj wzór chemiczny lodu.	H2O
Jak nazywa się stolica Gruzji?	Tbilisi
Jak nazywa się członek grupy Monty Python, grał w filmach Rybka zwana Wandą?	John Cleese
Kto w marynarce wojennej jest odpowiednikiem generała broni?	admirał floty
W którym mieście przyznawana jest nagroda Smok Smoków dla filmów dokumentalnych?	w Krakowie
Co ile lat odradzał się z popiołów mityczny feniks – co 50, co 500 czy co 5000 lat?	co 500 lat
Francuski fizjolog Albert Calmette opracował szczepionkę przeciwko któremu drobnoustrojowi?	przeciwko gruźlicy
Z którego państwa wywodzi się ciemne, mocne piwo – porter?	z Anglii
Który przyrząd lekarski wynalazł Lembeck?	stetoskop
Czy w Wielkie Brytanii służba wojskowa jest obowiązkowa?	nie
Conjunctivus to po łacinie który tryb czasownika?	przypuszczający
Proszę rozszyfrować skrót KBWE?	Konferencja Bezpieczeństwa i Współpracy w Europie
Który car Rosji zarządził wyprawę Jermaka na Syberię w 1582 roku?	Iwan IV Groźny
W którym państwie leżą tzw. Alpy Transylwańskie, czyli Karpaty Południowe?	w Rumunii
W której sztuce Aleksandra Fredry w pierwszej scenie Gustaw wchodzi przez okno?	„Śluby panieńskie”
Która księga składa się z 114 sur?	Koran
Czyją żonę nazywano „wilczycą kresową” z powodu pogromów Tatarów?	Stefana Chmieleckiego
W którym państwie znajdowała się tzw. Bizonia – połączone strefy okupacyjne Wlk. Brytanii i USA?	w Niemczech
Jak nazywamy człowieka znajdującego przyjemność w zadawaniu bólu fizycznego?	sadysta
„Kariera Artura Ui” przedstawia parodię którego polityka?	Adolfa Hitlera
Jaki ładunek mają protony?	dodatni
Jak nazywa się kanał łączący Morze Irlandzkie z Morzem Celtyckim?	Kanał św. Jerzego
Jaką nazwę nosił statek kosmiczny „Obcego”?	Nostromo
Na jakim koniu według ludowych wierzeń przybywa św. Marcin?	na białym
Co oznacza słowo sukurs?	odsiecz	wsparcie
Do którego morza uchodzi Dunaj?	do Morza Czarnego
Jak nazywa się należące do skleroprotein białko będące podstawowym budulcem włosów i paznokci?	keratyna
Na autoportrecie z Saskią Rembrandt przedstawił siebie z kobietą siedzącą na kolanach. Kim była ta kobieta dla Rembrandta?	żoną
Jak dawniej w wojsku nazywał się pachołek obozowy?	ciura	luzak
Na którym kontynencie znajdują się góry Notre Dame?	w Ameryce Północnej
Gdzie leży Olympus Mons?	na Marsie
Ile niedziel liczy Wielki Post?	6 niedziel
Jak nazywa się reżyser filmu „Bliskie spotkanie trzeciego stopnia”?	Steven Spielberg
Jaki pierwiastek chemiczny ma symbol Fm?	ferm
Średniowieczne gęśle to instrument szarpany czy dęty?	szarpany
Jak brzmi imię tytułowego bohatera, miłego stworzenia z innej planety, filmu Spielberga?	E.T.
W jakim państwie były produkowane komputery Odra?	w Polsce
W którym wieku Rudolf Diesel skonstruował silnik wysokoprężny?	w XIX	19
Ile pestek mieści się w owocu palmy daktylowej?	jedna	1
Jak z greki nazywa się trzyczęściowe malowidło albo rzeźba?	tryptyk
Jak nazywała się polska organizacja wojskowa, której dowódcami byli generałowie Grot, Bór, Niedźwiadek?	Armia Krajowa
Jak nazywa się po staropolsku niewola u Turków lub Tatarów?	jasyr
Jak nazywa się w brydżu karta o małej wartości?	blotka
Jaki tytuł nosi trylogia Stiega Larssona, której ostatni tom nosi tytuł „Zamek z piasku, który runął”?	„Millenium”
W którym roku ojciec Jan Paweł II odwiedził Polskę po raz pierwszy?	w 1979
Ile medali zdobyli Polacy na Mistrzostwach Świata w lekkiej atletyce w 2013 roku w Moskwie?	trzy	3
Do którego miasta zmierzał Titanic?	do Nowego Jorku
Ile metrów ma hektometr?	sto	100
Długie pasmo włosów ze skroni noszone przez ortodoksyjnych Żydów to...?	pejsy
W którym filmie Stanisława Barei znajduje się scena z miskami przykręconymi do stolików?	w „Misiu”
W którym wieku żył Karol Darwin?	w XIX	19
W którym roku przemianowano PRL na RP?	w 1989
Który kabaret tworzą Stanisław Szelc, Jerzy Skoczylas i Leszek Niedzielski?	Elita
Kto wcześniej był koronowany na króla Polski: Jagiełło czy Jadwiga?	Jadwiga
Który kowalski wyrób przynosi szczęście?	podkowa
Czy Federico Fellini, nominowany do Oscara 12 razy, otrzymał tę nagrodę za reżyserię?	nie
Jak nazywała się tytułowa Anna, bohaterka książki Lwa Tołstoja?	Karenina
Który bohater „Quo vadis” nazywany jest Miedzianobrodym?	Neron
Jak nazywa się przedstawicielstwo Watykanu przy rządzie jakiegoś państwa?	nuncjatura
Kalendarze jakiego koloru zaleca spalić w swojej piosence Piotr Szczepanik?	żółte
Potsdamer Platz, Aleksander Platz – to nazwy stacji metra w którym mieście?	w Berlinie
Jak nazywa się najwyższe polskie odznaczenie, które w 2012 otrzymali Jerzy Buzek i Norman Davies?	Order Orła Białego
Jak nazywamy ostrosłup prosty którego podstawą jest figura foremna?	prawidłowy	foremny
Żeby odwiedzić miasto Azteków, trzeba pojechać do Meksyku, Boliwii czy Peru?	do Meksyku
Jak nazywa się urządzenie do zmiany biegów w rowerze?	przerzutka
W której części Gdańska leży katedra ze słynnymi organami zbudowanymi przez Jana Wolffa?	Oliwa
Kto w 1215 roku wydał Wielką Kartę Swobód?	Jan bez Ziemi
W którym wieku powstało w Londynie Muzeum Królowej Wiktorii i Księcia Alberta?	w XIX	19
Czy mammografia i USG to ta sama metoda badania?	nie
Jakim jednym słowem określa się mleko, masło, sery?	nabiał
Czy zielony znak z nazwą miejscowości zobowiązuje do zwolnienia do 50 km/h?	nie
Imię którego greckiego boga noszą statki amerykańskie używane do lądowania na księżycu?	Apolla	Apollina
Jak nazywał się szwedzki przyrodnik, twórca klasyfikacji organizmów?	Karol Linneusz
Jak miał na imię Eiffel, konstruktor wieży w Paryżu?	Gustaw Aleksander
W którym roku odbył się po raz pierwszy festiwal na Woodstock?	w 1969
Ile nóg ma zwykle statyw fotograficzny?	trzy	3
Kto napisał „Ziemię obiecaną” oraz „Chłopów”?	Władysław Reymont
Jak miała na imię telegrafistka w „Czterech Pancernych”?	Lidka
W której epoce żył św. Tomasz z Akwinu: w średniowieczu czy renesansie?	w średniowieczu
W którym wieku panował Henryk VIII?	w XVI	16
W którym zakładzie przemysłowym znajduje się zwykle walcownia?	w hucie
Jak nazywa się popularna na Bliskim Wschodzie fajka wodna?	szisza
Jak nazywał się klub sportowy, którego prezesem był Ryszard Ochódzki?	Tęcza
Który car rosyjski wprowadził grażdankę?	Piotr Wielki
Jak chciał dać swojej córce na imię węglarz z filmu „Miś”?	Tradycja
