"aurora" | ['z „aurory”']
halerz był częścią korony austriackiej | ['jedną setną', 'setną', '0,01']
halina ołomucka | ['pelagia majewska']
hannibal barca | ['hannibal']
hannibal barca | ['hannibal']
hefajstos wykuł wspaniałą zbroję na prośbę tetydy | ['achillesowi']
hel | ['wodór']
henryk sienkiewicz | ['maria rodziewiczówna']
herbert hoover | ['woodrow wilson']
hieron ii | ['archimedes']
himalajski żywotnik | ['bambus']
hipokrates żył wcześniej | ['hipokrates']
hispaniola | ['na haiti']
historii | ['rejestr']
hiszpania | ['z francji']
hiszpańska | ['francuskiej']
holandia | ['hiszpania']
hoplitowie | ['hoplici']
hormon luteinizujący | ['prolaktyna', 'laktotropina']
hugon i | ['hugo kapet']
ignacy z loyoli | ['loyola']
imię lub nazwę podmiotu w zdaniu | ['kto? co?']
infanticyd | ['dzieciobójstwo']
instrument | ['gra']
instrument dęty blaszany | ['dęty blaszany']
instynkty polowania | ['natura']
intarsja wykorzystuje materiały naturalne | ['z drewna']
interregnum | ['vacatio legis']
isis | ['izyda']
islam jest najbardziej dominującą religią w indonezji | ['islamu']
j | ['brazylia']
jabłko | ['kokosa']
jacek kurski | ['ryszard miazek']
jak wrony | ['i one']
jakub szczęsny | ['jankiel']
jan dworak | ['marek markiewicz']
jan długosz | ['paweł jasienica']
jan długosz | ['wincenty kadłubek']
jan iii sobieski | ['zygmunt iii waza']
jan kasprowicz | ['mikołajowi rejowi', 'rejowi']
jan kiliński | ['maksymilian kolbe']
jan klata | ['zygmunta hübnera', 'hübnera']
jan matejko | ['rembrandt van rijn']
jan olszewski | ['jarosław kaczyński']
jan paweł ii | ['jan paweł']
jan peszek | ['pawlik', 'bronisław pawlik']
jan pietrzak | ['jonasz kofta', 'kofta']
jan sebastian bach żył wcześniej | ['jan sebastian bach', 'bach']
jan styka | ['jan styka i wojciech kossak', 'wojciech kossak i jan styka']
jan styka | ['marcello bacciarelli', 'bacciarelli']
janek krzeptowski | ['sabała']
janosik | ['józef bem']
janusz | ['jacek']
janusz | ['wojciech']
janusz christa | ['szklarski']
janusz kondratiuk | ['juliusz machulski']
janusz korczak napisał trzy książki o królu maciusiu | ['dwie', '2']
janusz lewandowski | ['tadeusz syryjczyk']
janusz lewandowski | ['wiesław rozłucki']
janusz pająk | ['józef chychła']
japonia | ['w usa', 'w stanach zjednoczonych']
japonia i chiny | ['japonii']
jastrzębiec | ['tępa podkowa']
jastrzębiec | ['wczele']
jazda na rowerze górskim | ['kolarstwo górskie']
jd salinger | ['juliusz verne', 'verne']
jedno słowo | ['jeden', '1']
jednoroczna | ['bylina']
jednoręki bandyta | ['bandyta']
jednostka kelvina jest jednostką temperatury | ['temperatury']
jednostka stratygraficzna | ['oddział']
jednostką paskala jest pa (paskal) | ['ciśnienia']
jednostką w żegludze jest kabel | ['odległości']
jedność czasu | ['akcji']
jerzy grotowski | ['henryk tomaszewski']
jerzy stuhr | ['kazimierz']
jezioro aralskie | ['morze kaspijskie']
jezioro bajkał | ['bajkał']
jezioro bajkał | ['ładoga']
jezioro bodeńskie leży na granicy trzech państw europejskich: niemiec | ['trzech', '3']
jezioro hańcza | ['hańcza']
jezioro ren | ['przez jezioro bodeńskie']
jezioro łańskie | ['do odry']
jezus przemienił wodę w wino | ['wodę']
jeździectwo | ['boks']
jodyna jest roztworem jodu w wodzie | ['w alkoholu']
johann sebastian i georg philipp | ['jan sebastian']
johannes gutenberg | ['gutenberg']
john fitzgerald kennedy zginął w dallas | ['w dallas']
john gay | ['ignacy krasicki', 'krasicki']
john m barry | ['jalu kurek']
john travolta i nicolas cage | ['robert redford i paul newman', 'paul newman i robert redford', 'redford i newman', 'newman i redford']
johnny weissmuller zagrał tarzana w filmie irvinga thalberga | ['tarzana']
josefa | ['józefina']
judaizm | ['w islamie']
julian tuwim | ['ksiądz jan twardowski', 'twardowski']
juliusz słowacki | ['adama mickiewicza']
justyna | ['„dziewczyna szamana”']
józef poniatowski | ['fryderyka chopina', 'chopina']
język esperanto | ['esperanto']
język grecki | ['greckiego', 'greki']
język niemiecki | ['z niemieckiego']
k | ['na literę a', 'na a', 'a']
kabaret starszych panów | ['kabaret tey', 'tey']
kacper łuczyński | ['wilk']
kaczor | ['kulfon']
kadzidło | ['bursztyn']
kaedwen | ['z rivii', 'rivia']
kaftan bezpieczeństwa ma długość do kostek | ['rękawy']
kalafonia jest otrzymywana z wosku pszczelego | ['żywica']
kaleb | ['ramzes']
kapitanem łodzi podwodnej w powieści juliusza verne'a „dwadzieścia tysięcy mil podmorskiej żeglugi” był kapitan | ['nemo']
kapitol | ['kwirynał']
kapitol w waszyngtonie jest własnością stanów zjednoczonych | ['kongresu stanów zjednoczonych', 'kongresu usa']
karol iv | ['most karola', 'karola vi']
karol wielki był twórcą potęgi karolingów | ['karol młot']
kasimir malevich | ['witkacy', 'stanisław ignacy witkiewicz', 'witkiewicz']
katedra św jana chrzciciela w warszawie | ['w katedrze wawelskiej', 'na wawelu', '0']
kaukaz | ['ural']
kazimierz jagiellończyk | ['kazimierz iv jagiellończyk']
kazimierz jagiellończyk | ['kazimierza wielkiego']
kazimierz odnowiciel żył wcześniej | ['kazimierz odnowiciel']
kazimierz wielki | ['aleksander jagiellończyk']
każda liczba pierwsza ma tylko dwa dzielniki | ['dwa', '2']
każdy partner ma tylko jednego małżonka | ['jednego', '1']
kermit the frog | ['kermit']
kiełkuje | ['cisza']
king cobra | ['królewska']
klarnet | ['na klarnecie']
klasztorny dziedziniec | ['wirydarz']
klitajmestra | ['stentor']
knickerbockers | ['pumpy']
kokos | ['jasiek']
kolumna | ['stalagnat']
konferencja potsdamska | ['jałtańskiej', 'na konferencji jałtańskiej', 'w jałcie']
koniczyna | ['oset']
konstytucja marcowa została uchwalona wcześniej | ['marcowa']
kontrabas jest największym instrumentem smyczkowym | ['kontrabas']
kopie | ['pika']
kora | ['z kory']
korniki | ['termity']
kotwica | ['orła']
kościół mariacki ma dwie wieże | ['dwie', '2']
kościół prawosławny | ['prawosławny']
kość szczękowa | ['żuchwa']
krakus | ['lajkonik']
krawędź | ['wybrzeże', 'brzeg']
krew jest przetłaczana z przedsionków do komór | ['z przedsionków do komór']
krokodyle są jajorodne | ['jajorodne']
kruki są ptakami poligamicznymi | ['monogamiczne']
krupp ag | ['friedrich krupp ag', 'krupp']
krzemionka | ['talk']
krzysztof ibisz | ['tomasz hopfer', 'hopfer']
krzyż orderu odrodzenia polski ma cztery ramiona | ['cztery', '4']
krzyż srebrny orderu virtuti militari | ['warszawski krzyż powstańczy']
krzyżacy | ['przeciwko państwu krzyżackiemu', 'przeciw krzyżakom', 'państwo krzyżackie']
krzyżówka krzyżykowa | ['jolka']
król august ii mocny | ['stanisław konarski']
król kroisos z lidy | ['gajusz juliusz cezar']
król michał korybut wiśniowiecki | ['kmicic']
król teb kreon | ['kreon']
król władysław łokietek był przodkiem księcia leszka czarnego | ['bratem']
król zygmunt iii waza | ['jana karola chodkiewicza']
królestwo prus | ['do szwecji']
królestwo włoch | ['we włoszech', 'włochy']
królewski najazd szwedzki | ['potop szwedzki']
królowa bona zmarła na zatrucie pokarmowe | ['została otruta']
królowa wiktoria | ['wiktoria']
księga jozuego | ['księga powtórzonego prawa', 'deuteronomium']
kukułki | ['żurawie']
kuzyni | ['byli braćmi', 'bracia']
kuzyni | ['są braćmi', 'bracia']
kwas octowy jest organicznym związkiem chemicznym | ['mlekowy']
kwas siarkowy | ['azotowego']
kwas solny | ['azotowy']
kwiecień | ['w kwietniu']
kłosówka | ['kutia']
kłus zmieniony skrócony wolny | ['stęp']
kōbō abe | ['joanna chmielewska']
lada niva | ['niva']
lampa elektronowa czteroelektrodowa | ['tetroda']
lamy należą do rodziny kóz | ['wielbłądowatych']
larwy motyli nazywane są gąsienicami | ['gąsienice']
latająca odznaka | ['baretka']
lawrence welk był kierownikiem orkiestry | ['glenn miller']
legendarna wyspa atlantyda | ['o atlantydzie']
legia warszawa | ['wisła kraków']
legiony polskie | ['legiony']
leipzig | ['pod lipskiem', 'lipsk']
leszek balcerowicz | ['hanna gronkiewicz-waltz']
liczba dzielna | ['dzielnik']
liczba mnoga słowa „człowiek” to „ludzie” | ['ludzie']
liczba podniesiona do trzeciej potęgi nazywa się sześcianem | ['sześcianem']
liczebnik porządkowy | ['liczebnik']
likwidacja | ['ludobójstwo']
lina cumownicza | ['cuma']
linia atlantyku | ['wał atlantycki']
lipa | ['dzięcielina']
lira | ['na lirze']
lizbona | ['rzym']
liściaste | ['iglaste']
lodowcowy materiał skalny | ['morena']
logomachia to jałowy spór o słowa lub pojęcia | ['o słowa']
londyn | ['na cmentarzu monte cassino', 'pod monte cassino']
lonża | ['arkan']
lop oznacza logiczne programowanie obwodów | ['liga ochrony przyrody']
lord byron | ['george gordon byron', 'byron']
lotniskowiec | ['log']
ludwik | ['ludwik solski', 'solski']
ludzkimi ofiarami | ['ludźmi']
lufa | ['panewka']
lwów | ['we lwowie']
ma przewagę | ['się śmieje ostatni']
maciej kurzajewski | ['kazimierz kaczor', 'kaczor']
magisterium sine diploma | ['absolutorium']
magistrat mst warszawy | ['w pałacu namiestnikowskim']
makowiec | ['z maku', 'mak']
maksymilian robespierre był prawnikiem | ['prawnikiem']
maleństwo | ['kangurzątko', 'kangur']
maria | ['monika']
maria | ['weronika']
maria callas była zawodową śpiewaczką operową | ['śpiewaczką operową']
maria kownacka | ['jan miodek']
masa rogowa | ['szylkret']
matiasz | ['maciej']
matka persefony | ['siostrą']
matthew dunn | ['wiktor suworow']
mauzoleum św piotra | ['panteon narodowy']
maxence van der meersch | ['jarosława iwaszkiewicza']
meduza jest wielokomórkowym zwierzęciem | ['wielokomórkowym']
mezozoiczna | ['kenozoiku']
miarą w dawnej polsce była włóka | ['powierzchni', 'ziemi']
michał wołodyjowski | ['tuhaj-bej']
michelangelo | ['michał anioł']
miecz zawieszony na sznurku | ['miecz']
mieczysław cybulski | ['kazimierz junosza-stępowski']
miedź cynkowa | ['tombak']
mielec | ['w świdniku']
mieszkaniec szczawnicy to małopolanin | ['szczawniczanin']
mikołaj ii | ['mikołaj ii aleksandrowicz romanow']
mikołaj rej był kalwinem | ['kalwinem']
milczenie jest złotem | ['złotem']
miliard milionów | ['z miliona']
milimetr | ['promil']
miliony | ['kamienie milowe']
mime | ['pantomima']
ministerstwo spraw wewnętrznych w warszawie | ['w zachęcie', 'w gmachu zachęty', 'zachęta']
mitologiczny | ['brytanii']
mięczaki | ['graptolity']
międzynarodowa organizacja policji kryminalnej (interpol) | ['interpol']
międzynarodowa organizacja pomocy ekonomicznej (mope) | ['united nations relief and rehabilitation administration', 'unrra']
mms | ['mms-em']
mniejszość litewska | ['litewskiej']
modulator kodowania impulsów cyfrowych (ang coded pulse modulator) | ['modem']
monachium | ['w niemczech']
monachium | ['w tokio']
monachium | ['wiedeń']
monitor | ['monitor komputerowy']
morze północne i morze bałtyckie | ['nad morzem północnym', 'północnym']
morze śródziemne | ['oceanu atlantyckiego', 'atlantyku']
motyw malarski | ['pejzaż']
mount everest | ['annapurna']
może się zdarzyć wszystko | ['wszystko']
można uzyskać krótkoterminową pożyczkę pod zastaw posiadanych cennych przedmiotów lub papierów wartościowych w instytucjach finansowych | ['w lombardzie']
muchy | ['mrówki']
muchówki | ['do ważek', 'ważki']
muzeum egipskim w londynie | ['w muzeum brytyjskim', 'w british museum']
muzeum pergamońskim w berlinie | ['w luwrze', 'luwr']
męski | ['damski']
na krzyż | ['równolegle']
na oceanie spokojnym | ['hawajów']
na piersi | ['w klapie']
na skrzypcach | ['na cymbałach']
na zachodzie bez zmian opowiada o losach siedmiu towarzyszy | ['trzech', '3']
na zamówienie władz egipskich | ['otwarcia kanału sueskiego']
nadludzka siła | ['sok z gumijagód', 'gumijagody']
nadmiernej liczby palców | ['palców']
najpierw miniemy toruń | ['toruń']
największe bezkręgowce świata to kalmary i rekiny | ['kałamarnice olbrzymie']
narew | ['nad białą']
narząd wzroku | ['wzroku', 'oka', 'oczu']
narządu wzroku | ['oczu', 'oka']
nasiona następcze | ['oziminy']
nasycanie cieczy gazem | ['saturacja']
natalia nykiel | ['alicja majewska']
natężenie prądu elektrycznego | ['napięcie elektryczne', 'napięcie']
natężenie prądu płynącego w każdej z nich jest jednakowe | ['jednakowe']
