prompt,completion
Proszę podać polską nazwę organizacji gospodarczej o skrócie EFTA.,Europejskie Stowarzyszenie Wolnego Handlu
W którym języku merci oznacza dziękuję?,we francuskim
Jak nazywa się czterokrotny mistrz olimpijski w chodzie?,Robert Korzeniowski
W którym województwie leży Zamość?,w lubelskim
Jakiej narodowości był Karol May?,Niemcem
"Jakiej narodowości był pisarz Kallimach, nauczyciel synów Kazimierza Jagiellończyka?",włoskiej
Jak nazywa się pałeczka dyrygenta?,batuta
Które drzewo przedstawia korzenie rodzinne człowieka?,genealogiczne
Jak nazywa się przedsięwzięcie sanitarne mające na celu usunięcie gryzoni?,deratyzacja
"Kto, według nauczyciela w jednym z dzieł Gombrowicza, „wielkim poetą był”?",Juliusz Słowacki
"Jak nazywa się brytyjska aktorka, która zagrała szefową wywiadu w serii filmów o Bondzie?",Judi Dench
Proszę rozwinąć skrót powstałego w 1918 roku urzędu GUS.,Główny Urząd Statystyczny
Kto w XVII wieku sformułował prawo powszechnego ciążenia?,Isaac Newton
Jaką dziedzinę sztuki uprawia Wilhelm Sasnal?,malarstwo
Do kogo skierowane były w „Panu Tadeuszu” słowa: „niewdzięczny”?,do Tadeusza
Kim byli dla siebie niemieccy bajkopisarze Jakub i Wilhelm Grimm?,braćmi
Jak nazywał się pierwszy dowódca elitarnej jednostki szturmowej GROM?,Sławomir Petelicki
Jakie zwierzęta ciągną sanie św. Mikołaja?,renifery
Kto w mitologii greckiej zabił Hektora?,Achilles
Czy klawesyn i klawicymbał to to samo?,tak
Matka ocaliła Mojżesza wkładając go w koszyk i puszczając po której rzece?,po Nilu
Jak z francuskiego nazywa się otwarcie wystawy połączone ze spotkaniem z autorem?,wernisaż
"Jak nazywał się przyjaciel Pana Wołodyjowskiego, który wraz z nim zginął w gruzach kamienieckiego zamku?",Ketling
"Jak nazywał się amerykański pisarz, twórca postaci Jasona Bourne’a?",Robert Ludlum
"Jak nazywa się pogląd, według którego człowiek jest środkiem wszechświata?",antropocentryzm
Co oznacza łacińskie „inter arma silent Musae”?,w czasie wojny Muzy milczą
"Czym było zwieńczone jabłko, symbol władzy królewskiej?",krzyżem
Jak z francuskiego i niemieckiego nazywamy otaczanie mięsa w jajku i tartej bułce?,panierowanie
Przez które morze Mojżesz przeprowadził Izraelitów?,przez Morze Czerwone
Ile samogłosek jest w wyrazie głoska?,dwie
Hakownica to sprzęt alpejski czy broń?,broń
Z którego kościoła grany jest hejnał w polskim radiu?,z kościoła Mariackiego
Założona w 1921 roku organizacja TMJP to towarzystwo miłośników którego języka?,polskiego
Jak w dawnym polskim prawie nazywał się spadek pozostawiony bez dziedziców i testamentu?,kaduk
"Czego był pełna rzeka, o której śnił kotek w wierszu Tuwima?",mleka
W którym wieku odbył się Sobór Watykański II?,w XX
Które państwo UE ma największą powierzchnię?,Francja
"Czy św. Piotr pochodził z Galilei, czy Jordanii?",z Galilei
W którym dramacie Wyspiańskiego występuje Czepiec?,w „Weselu”
Czy wanta na żaglowcu jest jednym z tylnych masztów?,nie
Jak nazywa się podanie rozpoczynające mecz siatkówki?,serwis
Jak chciał dać swojej córce na imię węglarz z filmu „Miś”?,Tradycja
"Zupa Bouillabaisse przyrządzona z ryb, homarów, krabów jest przysmakiem kuchni którego państwa?",Francji
Z którego kraju pochodzi Andrea Bocelli?,z Włoch
Przeciw komu wyruszył na ostatnią wyprawę Władysław Warneńczyk?,przeciw Turkom
"Jak nazywają się dwie liczby rzeczywiste, których wynik po dodaniu wynosi zero?",liczby przeciwne
"Jak nazywał się niemiecki lekarz, który odkrył prątek gruźlicy?",Robert Koch
"Jak miał na imię Eiffel, konstruktor wieży w Paryżu?",Gustaw Aleksander
Które zwierzę jest symbolem Rzymu?,wilczyca
1246 to liczba parzysta?,tak
Grań to ostra krawędź stoku górskiego czy przełęcz górska?,ostra krawędź stoku górskiego
Którą ręką salutuje się w wojsku polskim?,prawą
Ile lat trwa kadencja prezydenta Francji?,pięć
Na którym oceanie leżą wyspy Bora-Bora?,na Oceanie Spokojnym
Gdzie w USA zginął w zamachu Robert Kennedy?,w Los Angeles
Czy legalny syn Napoleona zasiadł na tronie Francji?,nie
Która z czterech planet najbliższych Słońcu ma największą masę?,Ziemia
Czy choroba Heinego-Medina i dziecięce porażenie to ta sama choroba?,wokół głowy
Co zniszczyło Kolosa Rodyjskiego?,trzęsienie ziemi
Ile nóg mają owady?,sześć
Jaką nazwę pochodzącą od imienia założyciela nosi Zakon Braci Mniejszych?,franciszkanie
Czy węgorz może być elektryczny?,tak
Do ilu razy sztuka według przysłowia?,do trzech
Do kogo Oleńka z Potopu zwraca się słowami: „ran Twoich niegodnam całować”?,do Kmicica
W którym roku rozpoczęła się wojna koreańska?,w 1950
Nad którą rzeką leży Płock?,nad Wisłą
Jak określamy zdenerwowanie u aktora przed występem scenicznym?,trema
Kto prześladował niewinną Zuzannę w Starym Testamencie?,starcy
Czy aktorzy Paweł i Rafał Królikowscy są spokrewnieni?,tak
W jaki sposób gramy na altówce – opierając ją o ramię czy o podłogę?,o ramię
"Ile lat według Księgi Rodzaju żył Matuzalem, 699, 969 czy 999 lat?",969
Jaki jest język urzędowy na Kubie?,hiszpański
"Z jakiego plemienia indiańskiego pochodził Unkas, bohater książki Coopera?",Mohikanów
"Jakie imiona nosili władcy hiszpańscy, którzy podpisali edykt wygnania wszystkich Żydów sefardyjskich z Hiszpanii w 1492 r.?",Izabela Kastylijska i Ferdynand Aragoński
W którym mieście znajduje się Teatr Stu?,Kraków
"Kto pierwszy dopłynął do wybrzeży Ameryki Północnej – wikingowie, Fenicjanie czy Chińczycy?",wikingowie
"Czy ojciec Fryderyka Chopina, Mikołaj, był Polakiem?",nie
Czy po Poznaniu jeżdżą tramwaje?,tak
W którym wieku żył Ludwik Waryński?,w XIX
Jak brzmi celownik imienia Pinokio: Pinokiu czy Pinokiowi?,Pinokiowi
Gubałówka liczy więcej czy mniej niż 1000 m n.p.m.?,więcej
Podczas panowania którego władcy Francji powstał styl empire?,Napoleona Bonaparte
Jak nazywa się wędzony ser owczy produkowany w Tatrach?,oscypek
Ile kadencji sprawował urząd prezydenta George W. Bush?,jedną
"Bohaterką którego utworu Marii Konopnickiej jest Marysia Kukulanka, gęsiarka?",„O krasnoludkach i sierotce Marysi”
"Alfa, beta, gamma – to początkowe litery którego alfabetu?",greckiego
Jak nazywał się ojciec królowej Jadwigi?,Ludwik Andegaweński
Czy żaby należą do kręgowców?,tak
"W którym włoskim mieście znajduje się tzw. krzywa wieża, dzwonnica miejscowej katedry?",w Pizie
Jakiej narodowości był Christian Andersen?,duńskiej
Które miasto hiszpańskojęzyczne państwo ma najwięcej ludności?,Meksyk
W jakim państwie panowała Katarzyna Medycejska?,we Francji
W której noweli Marii Konopnickiej występowała rodzina Mostowiaków?,„Nasza szkapa”
"Uczniem którego greckiego filozofa był Arystyp z Cyreny, twórca hedonizmu?",Sokratesa
Jak z greki nazywa się chorobliwy strach przed ogniem?,pirofobia
"Może być szkolna, rejestracyjna, Mendelejewa?",tablica
Jak nazywają się jadalne liście cebuli?,szczypior
W którym mieście piłkarze grają na stadionie Santiago Bernabeu?,w Madrycie
"Jak nazywał się książę siedmiogrodzki, który w sojuszu ze Szwedami najechał Polskę w 1657 r.?",Jerzy II Rakoczy
Panegiryk to utwór pochwalny czy szyderczy?,pochwalny
Ile hektarów ma kilometr kwadratowy?,sto
"Jarmuż to tradycyjne danie ukraińskie, roślina czy część ubrania chasydów?",roślina
Czy Elżbieta II nosiła tytuł cesarzowej Indii?,nie
Jakie góry dominują w krajobrazie Chile?,Andy
Laminat to tworzywo jedno- czy wielowarstwowe?,wielowarstwowe
Jak nazywa się po staropolsku niewola u Turków lub Tatarów?,jasyr
"Żeby odwiedzić miasto Azteków, trzeba pojechać do Meksyku, Boliwii czy Peru?",do Meksyku
Symbolem której partii w USA jest osioł?,Demokratów
Czyje imię nosi Zespół Pieśni i Tańca „Śląsk”?,Stanisława Hadyny
"Na którym włoskim uniwersytecie studiowali zarówno Kochanowski, jak i Kopernik?",w Padwie
Zbiory którego muzeum można podziwiać w Pałacu Zimowym w Petersburgu?,Ermitażu
"Jak nazywa się polski piłkarz, który zdobył 4 bramki w jednym spotkaniu Ligi Mistrzów?",Robert Lewandowski
"Jak nazywał się książę Siedmiogrodu, który został królem Polski?",Stefan Batory
Odbywający się corocznie konkurs skrzypcowy w Genui nosi imię którego skrzypka?,Niccolò Paganiniego
Jak nazywano rapier Gerwazego?,Scyzorykiem
Z którego języka pochodzi skrót LTD oznaczający spółkę z ograniczoną odpowiedzialnością?,z angielskiego
"W którym polskim kabarecie pojawiały się postaci pana Czesia, Tureckiego?",w Kabarecie Olgi Lipińskiej
Częścią którego miasta jest dzielnica Majdanek?,Lublina
Nad jaką rzeką leży stolica Rosji?,nad Moskwą
Na którym kontynencie rządził Mobutu Sese Seko?,w Afryce
Jak z francuskiego nazywa się samochód ze składanym dachem?,kabriolet
Jakie amerykańskie miasto leży m.in. na wyspach Staten Island i Long Island?,Nowy Jork
Reprezentantem którego kierunku w malarstwie był Artur Grottger?,romantyzmu
Czy Joanna d'Arc pochodziła z Orleanu?,nie
"Jak nazywała się słynna królowa Babilonu, znana z wiszących ogrodów?",Semiramida
Czy Luksemburg jest członkiem UE?,tak
Czy zielony znak z nazwą miejscowości zobowiązuje do zwolnienia do 50 km/h?,nie
Ile elektrod ma tranzystor?,trzy
Na jakim instrumencie muzycznym gra Bill Clinton?,na saksofonie
Na którym drzewie rosną żołędzie?,na dębie
Jak miała na imię ukochana Wokulskiego?,Izabela
"Który z braci Grabskich, Władysław czy Stanisław, był ministrem finansów?",Władysław
"Jak z łaciny nazywa się rów otaczający chroniący twierdzę, zwykle wypełniony wodą?",fosa
Jaką szczególną nazwę nosiło powstanie na Sycylii w 1282 r.?,Nieszpory sycylijskie
W którym roku odbyła się premiera „Wesela” Stanisława Wyspiańskiego?,w 1901
W której części ciała znajduje się narząd Cortiego?,w uchu
Jaka część mowy odpowiada na pytanie „co robi”?,czasownik
Na terenie którego państwa leży pustynia Kara-kum?,Turkmenistanu
Czy Cejlon to nazwa państwa?,nie
Z którego państwa pochodzi sangria – napój z czerwonego wina i świeżych owoców?,z Hiszpanii
Czy łacina jest językiem urzędowym w Watykanie?,tak
"Jak nazywa się polski reżyser, mąż Jadwigi Barańskiej?",Jerzy Antczak
W którym miesiącu w Poznaniu w 1956 miał miejsce masowy protest robotników?,czerwiec
Nad którą rzeką leży Paryż?,nad Sekwaną
Jak nazywała się pierwsza w historii Indii kobieta pełniąca funkcję premiera?,Indira Gandhi
Jak nazywa się końcowy okres epoki kamienia?,neolit
Na której wyspie zmarł Napoleon Bonaparte?,na Wyspie Świętej Heleny
Armię którego państwa pokonał Napoleon w 1806 roku pod Jeną?,Prus
Jak nazywa się nauka o ssakach?,mammologia
Jaki kolor ma stoliczek w dziecięcej wyliczance „Entliczek pentliczek”?,czerwony
Jak nazywa się wypukła albo wklęsła powierzchnia cieczy w pobliżu ścianek naczynia?,menisk
Czy raki posiadają kręgosłup?,nie
W jakim filmie mężczyzna w białym garniturze zrywa lilie ze stawu?,„Noce i dnie”
Na którym kontynencie znajdują się góry Notre Dame?,w Ameryce Północnej
"Jaki tytuł nosił thriller erotyczny, w którym główne role zagrali Michael Douglas i Sharon Stone?",„Nagi instynkt”
"Z jakiej dynastii pochodzili Osman I, Sulejman Wspaniały?",z dynastii osmańskiej
Z której dynastii pochodził Konrad Mazowiecki?,Piastów
Jakie inne państwo niż Chiny ma dostęp do Morza Żółtego?,Korea
"Jak nazywa się smętna, ukraińska pieśń ludowa?",dumka
W którym starożytnym mieście budowano wieżę Babel?,w Babilonie
Jak z łaciny nazywamy przemianę materii?,metabolizm
"Co oznacza stwierdzenie, że ktoś jest w błogosławionym stanie?",że jest w ciąży
Jaki angielski skrót nosi agenda ONZ ds. rolnictwa i żywności?,FAO
Jaką nazwę noszą z włoskiego zawody żeglarskie i wioślarskie?,regaty
W którym dramacie Słowackiego występuje Dafnicki?,w „Fantazym”
Jak wabił się pierwszy pies w kosmosie?,Łajka
Od którego wieku Buckingham Palace jest oficjalną siedzibą brytyjskiej rodziny królewskiej?,od XIX
Jak nazywa się reżyser filmu „Bliskie spotkanie trzeciego stopnia”?,Steven Spielberg
"Jak nazywał się właściciel cukierni, w której w latach 1905-12 działała grupa Zielony Balonik?",Jan Apolinary Michalik
W którym mieście w 2001 r. powstało muzeum osobliwości?,w Rabce-Zdrój
Które dwa państwa połączył w 2000 r. most nad cieśniną Sund?,Danię i Szwecję
Ile razy IO odbyły się w Japonii?,trzy
W którym parku narodowym znajduje się Śnieżka?,w Karkonoskim
Jak miał na imię stryj i opiekun Zbyszka z Bogdańca?,Maćko
Czy mykwa to rodzaj nakrycia głowy noszonej przez Żydów?,nie
Kto zagrał rolę pułkownika Dowgirda w „Czarnych chmurach”?,Leonard Pietraszak
Który kanclerz RFN otrzymał Pokojową Nagrodę Nobla?,Willy Brandt
Co oznacza łaciński wyraz quasi?,niby
Jak nazywa się dział geometrii poświęcony badaniu figur przestrzennych?,stereometria
Który uniwersytet w USA jest najstarszy?,Harvard
Czego według przysłowia kruk nie wykole krukowi?,oka
Jak w dawnej Rosji nazywali się robotnicy rzeczni holujący na linie barki?,burłacy
Czym zajmowała się Marysia w bajce Konopnickiej o Sierotce Marysi?,wypasaniem gęsi
Światowa federacja związków zawodowych powstała przed czy po II wojnie światowej?,po II wojnie światowej
Monday to po angielsku który dzień tygodnia?,poniedziałek
Jak nazywa się należące do skleroprotein białko będące podstawowym budulcem włosów i paznokci?,keratyna
Dybuk to dusza zmarłego grzesznika wstępująca do ciała żywego czy duch w domostwie domowym?,dusza zmarłego grzesznika wstępująca do ciała żywego
Kto jest autorem ballady „Świtezianka”?,Adam Mickiewicz
Fawele to dzielnice nędzy na którym kontynencie?,w Ameryce Południowej
W którym państwie najwyższym odznaczeniem jest krzyż Wiktorii?,w Wielkiej Brytanii
Którego kompozytora nazywa się „Chopinem Północy”?,Edwarda Griega
Jak nazywa się stop żelaza z węglem o zawartości węgla do 2%?,stal
Jak nazywa się popularna na Bliskim Wschodzie fajka wodna?,szisza
Gros to ile tuzinów?,dwanaście
"Jak nazywał się pułkownik niemieckiego sztabu generalnego, który dokonał zamachu na Hitlera?",Stauffenberg
Z której rodziny królewskiej wywodził się Bolesław III Krzywousty?,z Piastów
"Z którego państwa pochodzi Stieg Larsson, autor trylogii kryminalnej „Millennium”?",ze Szwecji
Z którego miejsca na Ziemi wszystkie drogi prowadzą na północ?,z bieguna południowego
Który znak interpunkcyjny wyodrębnia w tekście cytaty?,cudzysłów
Pieter Bruegel Starszy miał dwóch synów. Proszę podać imię jednego z nich.,Pieter
Który film powstał wcześniej: „Człowiek z żelaza” czy „Człowiek z marmuru”?,„Człowiek z marmuru”
Na jakim dystansie jest rozgrywany sprint w kolarstwie torowym?,1000 m
Długie pasmo włosów ze skroni noszone przez ortodoksyjnych Żydów to...?,pejsy
Jakie barwy widnieją na fladze Izraela?,biały i niebieski
Jak nazywa się stolica Kuby?,Hawana
Stolicą którego kraju jest Kopenhaga?,Danii
W architekturze islamu bab to okno czy brama?,brama
Która Polka jako pierwsza zdobyła Koronę Ziemi?,Anna Czerwińska
W jakim lesie mieszkał Kubuś Puchatek?,w Stumilowym
Powiedzenia i przysłowia: co kole w oczy?,prawda
Która armia wyszła zwycięsko z pierwszej wojny punickiej?,rzymska
Która rodzina jaszczurek to mistrzowie kamuflażu?,kameleony
Jak z greckiego nazywa się sztuka prowadzenia sporów?,erystyka
Z którego języka pochodzi termin „surrealizm”?,z francuskiego
Ile typów temperamentów wyróżnił Hipokrates?,cztery
Czym wyróżniał się dzielny żołnierzyk z ołowiu w bajce Andersena?,nie miał nogi
Jakie kolory znajdują się na fladze Monako?,biały i czerwony
Jak nazywa się szybki obrót wykonywany na palcach jednej nogi?,piruet
Od której części ciała zaczyna psuć się ryba według przysłowia?,od głowy
Czy jamochłony żyją w środowisku lądowym?,nie
Do jakiej zatoki uchodzi Wisła?,do Zatoki Gdańskiej
Jak miał na imię generał amerykański McArthur?,Douglas
W którym państwie w latach 50-tych XX wieku wydana została pierwsza karta kredytowa?,w Stanach Zjednoczonych
Abak w starożytnej Grecji to rodzaj czego?,liczydła
"Jaką postać przybrał Szatan, by kusić Ewę w raju?",węża
W którym państwie leży Brno?,w Czechach
Co oznacza „Opus Magnum”?,wielkie dzieło
W którym mieście w Polsce z inicjatywy Marii Skłodowskiej-Curie powstał Instytut Radowy?,w Warszawie
Kto w „Zawróconym” zagrał rolę Tomka?,Zbigniew Zamachowski
W którym mieście znajduje się fabryka Hipolita Cegielskiego?,w Poznaniu
W jakim stylu jest zbudowany Kościół Mariacki w Gdańsku?,w gotyckim
Jaką dyscyplinę uprawiają Stefan Hula i Maciej Kot?,skoki narciarskie
W którym polskim mieście znajduje się Świątynia Opatrzności Bożej?,w Warszawie
Czy państwo niemieckie przystąpiło po I wojnie światowej do Ligi Narodów?,tak
Ile wież wznosi się w tytule drugiego tomu powieści „Władca Pierścieni”?,dwie
O której porze dnia był pisany Dziennik Herlinga Grudzińskiego?,nocą
Jak nazywa się znak pieniężny wykonany z papieru?,banknot
W którym powstaniu brał udział Bolesław Prus?,w Powstaniu Styczniowym
Który władca rzymski wprowadził kalendarz juliański?,Juliusz Cezar
W którym wieku żył polski pisarz Mikołaj Sęp-Szarzyński?,w XVI
Jak z greki nazywa się trzyczęściowe malowidło albo rzeźba?,tryptyk
Co oznacza łacińskie „festina lente”?,śpiesz się powoli
"Jak nazywał się polski hetman polny, dowódca w bitwach pod Trzcianą i Hamersztynem?",Stanisław Koniecpolski
"Rozetka, angorka, szylkret – to rasy którego zwierzęcia?",świnki morskiej
Czy Alfred Nobel wynalazł trotyl?,nie
W którym wieku Tamerlan podbił Złotą Ordę?,w XIV
W ilu polskich miastach miały miejsce koronacje polskich królów?,w 3
Ile dni ma listopad?,trzydzieści
Jak nazywa się rzemieślnik odlewający dzwony?,ludwisarz
Według mitologii greckiej ile było potwornych sióstr zwanych Gorgonami?,trzy
Jak nazywa się największy stadion w Polsce?,PGE Narodowy
„Słodko i zaszczytnie jest umrzeć za ojczyznę” – kto jest autorem tych słów?,Horacy
"Jak nazywa się wypukłość na grzbiecie konia, za karkiem?",kłąb
Średniowieczne gęśle to instrument szarpany czy dęty?,szarpany
Turandot to księżniczka chińska czy książę tatrzański?,księżniczka chińska
W którym wieku żyła św. Bernadetta?,w XIX
Kim był wąż w raju?,diabłem
Mitologiczna wojowniczka i wielka rzeka południowoamerykańska to...?,Amazonka
Jaka jednostka w starożytnym Rzymie dzieliła się na 12 uncji?,libra
Jaka grupa zawodowa kontrolowana jest podczas hospitacji?,nauczyciele
W którym wieku żył Mozart?,w XVIII
Jakie miasto jest stolicą województwa małopolskiego?,Kraków
Które miasto jest stolicą województwa podkarpackiego?,Rzeszów
Które współczesne państwo nosi łacińską nazwę Helvetia?,Szwajcaria
"Po którym mieście biegał nagi Archimedes krzycząc „Eureka""?",po Syrakuzach
Zaprzysiężenie którego prezydenta zakończyło misję rządu na uchodźstwie?,Lecha Wałęsy
Jakiego kraju krainą historyczną jest Prowansja?,Francji
W jakim filmie Richard Chamberlain wcielił się w postać księdza rozdartego między powołaniem a miłością?,„Ptaki ciernistych krzewów”
Co ważyła sroczka w wierszu dla dzieci?,kaszkę
Czyim zagorzałym wrogiem był Katon Starszy?,Kartaginy
Która francuska aktorka w 1975 r. zrezygnowała z kariery i założyła fundację ochrony dzikich zwierząt zagrożonych wyginięciem?,Brigitte Bardot
Ile dni wstrząsnęło światem w tytule książki Johna Reeda o rewolucji październikowej?,dziesięć
Skrętnice żyją w środowisku lądowym czy wodnym?,wodnym
Który holenderski malarz namalował obraz „Jedzący kartofle”?,Vincent van Gogh
Zły humor jest efektem wstania z łóżka którą nogą?,lewą
Jaki tytuł nosi najstarsze polskie pismo kobiece?,„Przyjaciółka”
Za którego polskiego króla wybuchło Powstanie Kościuszkowskie?,za Stanisława Augusta Poniatowskiego
Mecenasem którego wielkiego kompozytora był król bawarski Ludwik II?,Ryszarda Wagnera
Czy okularnik jest wężem jadowitym?,tak
Bunraku to teatr japoński czy chiński?,japoński
Nielegalne poprawianie wydolności organizmu to...?,doping
Jak miała na imię żona Agamemnona?,Klitajmestra
Czy wazelina rozpuszcza się w wodzie?,nie
Gdzie według przysłowia nie należy wkładać palców?,między drzwi
Premierem którego europejskiego państwa był Aldo Moro?,Włoch
Jak nazywa się zakład produkujący piwo?,browar
W którym mieście znajduje się stadion piłkarski Maracanã?,w Rio de Janeiro
Jakiej marki był pierwszy seryjnie produkowany samochód w USA?,Ford
Formikarium to pojemnik do obserwacji których zwierząt?,mrówek
"Jak nazywa się kierunek w teorii poznania, według którego głównym sposobem poznania jest intuicja?",intuicjonizm
Jak miała na imię telegrafistka w „Czterech Pancernych”?,Lidka
Jeden hektar – ile to arów?,sto
Jak nazywa się waluta Kanady?,dolar kanadyjski
W którym roku USA oficjalnie przystąpiły do wojny?,w 1941
"Jak nazywa się częstochowskie wzgórze, na którym stoi klasztor paulinów?",Jasna Góra
Co wylatując wróblem powraca wołem?,słowo
Który kanał łączy morze Egejskie z morzem Jońskim?,Kanał Koryncki
Cannelloni to włoski makaron czy pizza?,makaron
"Na którym kongresie utworzono Wolne Miasto Kraków, czyli Rzeczpospolitą Krakowską?",wiedeńskim
Na którym oceanie leżą Azory?,na Oceanie Atlantyckim
Według przysłowia nos jest dla tabakiery czy tabakiera dla nosa?,tabakiera dla nosa
Jakie kolory widnieją na fladze Grecji?,biały i niebieski
Jak brzmi polska nazwa pierwiastka calcium?,wapń
Ile gwiazd znajduje się na fladze Australii?,sześć
Młode zwierzę hodowlane i ciągnący się cukierek to...?,krówka
W którym wieku miała miejsce wojna secesyjna?,w XIX
"W którym mieście odbyły się Igrzyska Olimpijskie w 1928 roku, na których złoty medal zdobyła Halina Konopacka?",w Amsterdamie
Kto jest autorem Pomnika Czynu Powstańczego na górze św. Anny?,Xawery Dunikowski
Skąd pochodził Heraklit?,z Efezu
Którą dziedziną sztuki zajmowali się Fidiasz i Poliklet?,rzeźbiarstwem
Jaka statuetka jest główną nagrodą na festiwalu filmowym w Berlinie?,Złoty Niedźwiedź
W którym roku miał miejsce tzw. czarny czwartek na giełdzie nowojorskiej?,w 1929
Jak nazywa się dyscyplina naukowa zajmująca się badaniem stanu i struktury ludności?,demografia
W którym państwie obowiązują urzędowe języki włoski i łaciński?,Watykan
Który tragicznie zmarły aktor patronuje nagrodzie dla najlepszego aktora/aktorki młodego pokolenia?,Zbyszek Cybulski
"Kto ogłosił, że planety poruszają się po elipsach?",Kepler
Który bóg ukrywał się pod postacią łabędzia podczas schadzki z Ledą?,Zeus
"Białka są budulcem organizmów zwierzęcych, roślinnych czy jednych i drugich?",jednych i drugich
Z iloma państwami graniczy San Marino?,z jednym
W którym mieście ma siedzibę Muzeum Tatrzańskie imienia Tytusa Chałubińskiego?,w Zakopanem
Jak nazywa się meksykańska wódka z agawy?,tequilla
W którym roku Otton III i Bolesław Chrobry spotkali się na zjeździe gnieźnieńskim?,w 1000
Jak potocznie nazywa się styl klasyczny w pływaniu?,żabka
Który gaz najlepiej przewodzi ciepło?,wodór
W którym dramacie Mrożka występują XX i AA?,„Emigranci”
Kto jest autorem noweli „Nasza szkapa”?,Maria Konopnicka
Czy orzeszki pistacjowe i orzeszki ziemne są owocami tej samej rośliny?,nie
Czy Kapadocja i Langwedocja to krainy historyczne leżące w tym samym państwie?,nie
Jak nazywa się kosmodrom w Kazachstanie?,Bajkonur
Jak nazywa się lalka teatralna nakładana na dłoń i poruszana palcami aktora?,pacynka
Jaką dyscyplinę sportu uprawiał Jacek Wszoła?,skok wzwyż
Kto był ojcem Morfeusza?,Hypnos
Czy w tajdze syberyjskiej żyją tygrysy?,tak
Jaki kształt ma litera grecka delta?,trójkąta
Treścią której opery Giuseppe Verdiego są losy Żydów pragnących wyrwać się z niewoli babilońskiej?,Nabucco
Ile jezior liczy system Wielkich Jezior Amerykańskich?,pięć
Czy w Afryce żyją pingwiny?,tak
Francuski fizjolog Albert Calmette opracował szczepionkę przeciwko któremu drobnoustrojowi?,przeciwko gruźlicy
Jak miał na imię pies Ali z elementarza?,As
"Kto jest autorem zbioru opowiadań pt. „Cyberiada”, wydanego w 1965 r.?",Stanisław Lem
Jaki jest skrót nazwy Stowarzyszenia Architektów Polskich?,SARP
"Jak nazywa się jedno ze wzgórz Rzymu, na którym mieści się siedziba prezydenta Republiki?",Kwirynał
"Z którego utworu Aldousa Huxleya pochodzi cytat: „gdy jednostka czuje, wspólnota szwankuje”?",„Nowy wspaniały świat”
Jak nazywa się tor wyścigowy F1 w Lombardii?,Monza
Diablotka to ostro przyprawiona zupa rybna czy placek z ciasta francuskiego?,placek
W którym mieście przyznawana jest nagroda Smok Smoków dla filmów dokumentalnych?,w Krakowie
Który gruczoł dokrewny wydziela melatoninę?,szyszynka
Kto zagrał tytułową rolę w komedii Kiler?,Cezary Pazura
Czy Szekspir tworzył także utwory pozateatralne?,tak
Jak nazywa się ręczne narzędzie do ścinania trawy i zboża?,sierp
Który amerykański dziennik upublicznił aferę Watergate?,Washington Post
Jak nazywa się wynagrodzenie żołnierza służby zasadniczej?,żołd
Gdzie leży Olympus Mons?,na Marsie
Ile lat trwa kadencja Przewodniczącego Rady Federacji Szwajcarskiej?,jeden
Czyje wesele występuję w tytule opery Mozarta?,Figara
Jak nazywał się ojciec królowej Elżbiety II?,Jerzy VI
Przez ile miesięcy w roku widoczna jest nad polskim niebem Mała Niedźwiedzica?,przez cały rok
Co poza główką jest szkolną wymówką?,paluszek
Wieniec z liści którego krzewu zawiera krzyż harcerski?,z liści laurowych
