!kung | ['pigmeje']
100 | ['dwieście dwanaście', '212']
atramentem | ['płynnym złotem']
august ii | ['mikołaj i romanow']
august ii mocny | ['jan iii sobieski']
august ii mocny | ['zygmunt iii waza']
auguste comte | ['karol darwin', 'darwin']
austrii | ['szwajcarii']
azteckich | ['skandynawskich']
barometr | ['barograf']
basic | ['ladino']
bednarz | ['dalit']
bezbarwny | ['albinos']
bezsensowne bzdury | ['czysty nonsens']
bezwietrzny | ['zerowy', '0']
beżowe | ['niebieskiego']
biała | ['biała wisełka']
białego | ['czerwonego']
białorusinów | ['litewskiej']
białą | ['palną']
biedronka | ['gucio']
big ben | ['dzwon zygmunta']
bismarck | ['admiral graf spee']
bodyguard | ['kaskader']
bohaterów | ['akcji']
bolesław chrobry | ['krak']
bolesław cywiński | ['stanisław skarżyński']
bolesława prusa | ['stefana żeromskiego']
borys jelcyn | ['michaił gorbaczow']
bp | ['cpn']
bramante | ['michał anioł']
brat | ['są braćmi', 'bracia']
broker | ['makler papierów wartościowych', 'makler']
burak | ['ryż']
burza | ['bałwan']
błędne | ['pustynia błędowska']
błękitna | ['bosfor']
ceres | ['merkury']
choroba krzywizny szyjnej | ['choroba morska']
cieczą | ['gazem']
cieczą | ['gazem']
cienia | ['orła']
ciepła | ['temperatury']
ciężarówki | ['ciśnienia']
ciężkie przestępstwo przeciwko życiu | ['dzieciobójstwo']
ciśnienia | ['lepkości']
ciśnienie atmosferyczne | ['ciśnienie']
claude lelouch | ['juliusz machulski']
clint eastwood i gene hackman | ['robert redford i paul newman', 'paul newman i robert redford', 'redford i newman', 'newman i redford']
csárdás | ['czardasz']
cudzysłowem | ['wykrzyknikiem', '!']
cypryjską | ['maltę']
cywilnego episkopatu polski | ['kierowców']
czarny ląd | ['ładoga']
czarnym | ['morza śródziemnego']
czas | ['a sam smoli']
czasownik | ['koniugacja']
czerwiec | ['w grudniu']
czerwona | ['pomarańczowy']
czerwona | ['żółtego']
czerwone | ['bajkał']
czerwonego | ['zielony']
czerwony | ['beżowy']
czerwony | ['jest bezbarwny', 'żaden', 'nie ma koloru']
czesław miłosz | ['ksiądz jan twardowski', 'twardowski']
czipriana | ['sylwia', 'sylvia']
cztery | ['sześć', '6']
cztery oczka | ['świętowit', 'światowid']
czwartek | ['maluch', 'mały fiat']
czysty | ['borowina']
czytnik | ['skaner']
częściową | ['dzielnik']
côte d’azur | ['lazurowe wybrzeże']
danii | ['z flotą szwecji', 'szwecji', 'ze szwedzką']
degradacja | ['korozja']
deklamacją | ['podpowiadaniem aktorom']
demokratów | ['partii demokratycznej']
deprecjacja | ['bessa']
destylacja | ['saturacja']
diabły | ['charon']
diametralna | ['styczna']
do 1949 | ['do 1991']
do dynastii saskiej | ['wettynów']
do franciszkanów | ['jezuitów']
do kurczaków | ['do glonojadów', 'glonojad']
do lalki | ['do izabeli łęckiej']
do niego wchodzi | ['wychodzi z serca', 'wychodzi']
do niewoli japońskiej | ['do japońskiej']
do oceanu spokojnego | ['do atlantyku', 'do atlantyckiego']
do pomiaru ciśnienia | ['do pomiaru czasu', 'czasu']
do psoe | ['hiszpańskiej socjalistycznej partii robotniczej']
do rodziny jeleni | ['wielbłądowatych']
do rzędu motyli | ['do ważek', 'ważki']
do watykanu | ['do bułgarii']
do wisły | ['do odry']
doba na marsie trwa krócej | ['dłużej', 'dłużej niż ziemska']
dodatnią | ['zawsze ujemną', 'ujemną']
drapieżnikiem | ['gryzoniem']
dromader | ['baktrian']
duży rytm | ['wielkie uderzenie', 'mocne uderzenie']
dwa | ['cztery', '4']
dwa | ['dwie', '2']
dwa | ['trzy', '3']
dwadzieścia | ['sto', '100']
dwanaście | ['cztery', '4']
dwanaście | ['trzy', '3']
dwanaście | ['trzy', '3']
dwanaście | ['trzy', '3']
dwanaście | ['trzydzieści dwa', '32']
dwie | ['cztery', '4']
dwie | ['piętnaście', '15']
dwie | ['szesnaście', '16']
dwie | ['wszystkie', 'trzynaście', '13']
dwie | ['żadnego']
dwudziestka | ['karat']
dwudziestościan foremny | ['dwunastościan']
dwutlenek | ['czad']
dwóch | ['trzech', '3']
dwóch | ['trzech', '3']
dyfrakcje | ['kliważ']
dyktatorstwo | ['duszanbe']
dyktatura | ['oligarchia']
dyngus | ['lany poniedziałek']
dyrygent | ['„fidelio”']
dystans | ['ogniskowa']
dyzmas | ['augiasz']
dziesięciu | ['trzech', '3']
dziesięć | ['dwa', '2']
dąbrówka | ['oda dytrykówna']
dźwiękowe | ['radiowe']
dżął | ['geminata']
d’artagnan | ['atos']
edward | ['władysław']
edward gierek | ['kazimierz barcikowski']
edward sołtys | ['wilk']
edward stettner | ['winston churchill']
edyta | ['ewa']
edyta górniak | ['alicja majewska']
edyta górniak | ['anita lipnicka']
edyta górniak | ['kasia kowalska']
edyta górniak | ['sława przybylska']
edyty górniak | ['karin stanek']
egiptu | ['sudanu']
eksil | ['banicja']
elizeum | ['pałac elizejski']
elżbieta jaworowicz | ['joanna bator']
emmerich kalman | ['franz lehár', 'lehar']
epicureizm | ['hedonizm']
era | ['epoka']
erytrocyt | ['osocze']
etnograf | ['autochton']
euro | ['funt brytyjski', 'funt szterling']
ewa czerny-stefańska | ['pelagia majewska']
fabularną | ['bajki']
faul | ['net']
fauny | ['flory']
faust | ['mefistofeles', 'diabeł']
fauvizmu | ['fowizm']
federalny szwajcarski parlament rosji | ['duma państwowa federacji rosyjskiej', 'duma państwowa']
fekalijka | ['faul']
ferenc erkel | ['imre kálmán']
finów | ['finlandii']
floryda | ['hawaje']
fonologia | ['fonetyka']
formacja | ['oddział']
francisco de goya | ['peter paul rubens', 'rubens']
franciszek drappier | ['vasco da gama']
franciszkanie | ['paulini']
francja | ['hiszpania']
francja | ['usa', 'stany zjednoczone']
francji | ['kanady']
francji | ['kanady']
franklin d. roosevelt | ['woodrow wilson']
franklin delano roosevelt | ['franklin delano']
fryderyk chopin | ['ludwig van beethoven', 'beethoven']
fryderyka wilhelma iii | ['zygmunta i starego']
full | ['kareta']
fusion | ['jazz-rock']
gad | ['krzew']
gadem | ['ptakiem']
gadem | ['ssakiem']
gdańsk | ['kaliningrad']
gen. leopold okulicki | ['bór-komorowski']
generał | ['marszałek polski']
generał alfred jodl | ['feldmarszałek wilhelm keitel']
geometryczne | ['twierdzenie geometryczne']
gioachino rossini | ['niccolò paganini']
giuseppe verdi | ['karol szymanowski']
gminą | ['powiatem']
godzilla | ['king kong']
gregorius magnus | ['grzegorz i']
gruczołu tarczowego | ['tarczycy']
grudziądz | ['płowce']
głównym motywem w dramacie aleksandra fredry „zemsta” jest zemsta cześnika raptusiewicza na rejentzie milczku | ['o mur graniczny', 'o mur']
h. c. andersenem | ['hansa christiana andersena', 'andersena']
habsburgów | ['burboni']
hale | ['kometa halleya']
hamilkara aleksander | ['hannibal']
hans christian andersen | ['sam autor', 'antoine de saint-exupéry']
haydn | ['joseph haydn']
heinrich himmler | ['admirał karl dönitz', 'dönitz']
henryk | ['głowacki', 'aleksander głowacki']
henryk adamowicz | ['jerzy kulej']
henryk długosz | ['maksymilian kolbe']
henryk gorecki | ['zbigniew preisner', 'preisner']
henryk iii starego | ['władysław i herman']
henryk iii wielki | ['otton iii']
henryk iv | ['hugo kapet']
henryk sienkiewicz | ['józef kraszewski']
henryk sienkiewicz | ['melchior wańkowicz']
henryk szlajfer | ['jan miodek']
himalaje | ['andy']
hodowla | ['sad']
holandia | ['glücksburgowie', 'schleswig-holstein-sonderburg-glücksburg']
holandia | ['mountbatten']
holandii | ['w chinach']
horacy nelson | ['francis drake', 'drake']
hrabia andrzej jaworski | ['babinicz']
hrabia iłłakowicz | ['jankiel']
hryhorij skrzyneckij | ['wernyhora']
i | ['a']
i rzeczpospolita | ['królestwo kongresowe']
ich nasilenie | ['ustąpienie objawów', 'ustąpienie']
ich równoważność | ['nostryfikacja']
ichtyomy | ['graptolity']
idiotą | ['analfabeta']
ignacy z loyoli | ['loyola']
igrzysk organizowanych przez kraj gospodarza | ['grecji']
ii | ['podczas i wojny światowej', '1']
iii | ['trzeciej', '3']
ikra | ['szylkret']
imierze | ['jangcy']
indeks | ['warszawski indeks giełdowy', 'wig']
informatyką | ['matematyką', 'cybernetyką']
ione | ['tlenki']
iran | ['turcja']
irena kwiatkowska | ['małgorzata foremniak']
isaac asimov | ['michael h. hart', 'hart']
isaac babel | ['albert camus', 'camus']
isaac newton | ['christiaan huygens', 'huygens']
isis | ['izyda']
italia | ['włochy']
iwan groźny | ['iwan iv groźny']
izabela | ['anna']
izabela | ['monika']
izabela anna | ['anna jagiellonka']
izabela czartoryska | ['ewelina hańska', 'hańska']
izba wodna | ['ozonosfera', 'warstwa ozonowa', 'powłoka ozonowa']
izbica | ['samowar']
izocena | ['ławica']
izolator | ['elektroda']
izolator | ['opornik']
izomery | ['mydła']
izomeryzacja | ['endotermiczna']
izotop | ['lorenc']
izrael | ['republika']
izraela | ['libanu']
izyda | ['nefretete']
jacka londona | ['irwina shawa', 'shawa']
jagiellonów | ['dynastia piastów', 'piastowie']
jagiełły | ['kazimierza wielkiego']
jakub | ['józef']
jan | ['wincenty']
jan andrzej morsztyn | ['ignacy krasicki', 'krasicki']
jan długosz | ['paweł jasienica']
jan długosz | ['wincenty kadłubek']
jan hus | ['marcin luter', 'luter']
jan hus | ['św. cyryl', 'cyryl i metody']
jan iii sobieski | ['aleksander jagiellończyk']
jan iii sobieski | ['józef bem']
jan iii sobieski | ['kazimierz wielki']
jan iii sobieski | ['mieszko i']
jan iii sobieski | ['zygmunt iii waza']
jan kasprowicz | ['oskar kolberg']
jan olszewski | ['jarosław kaczyński']
jan paweł ii | ['giovanni lorenzo bernini', 'bernini']
jan paweł ii | ['jan heweliusz']
jan paweł ii | ['jan paweł']
jana iii sobieskiego | ['tadeusza kościuszkę']
janusz kusociński | ['tomasz hopfer', 'hopfer']
janusz steinhoff | ['tadeusz syryjczyk']
janusz szpotański | ['jonasz kofta', 'kofta']
jaroszami | ['mięsożernymi']
jeden | ['cztery', '4']
jeden | ['cztery', '4']
jeden | ['dwa', '2']
jeden | ['dwa', '2']
jeden | ['sześć', '6']
jeden | ['zero']
jedną | ['dwie', '2']
jerzego błyskawicza | ['fryderyka chopina', 'chopina']
jerzego grotowskiego | ['zygmunta hübnera', 'hübnera']
jerzemu kraszewskiemu | ['tadeusz kantor']
jerzy | ['ramzes']
jerzy andrzejewski | ['andrzej szczypiorski']
jerzy andrzejewski | ['szklarski']
jerzy andrzejewski | ['wojciech żukrowski']
jerzy antczak | ['wojciech smarzowski']
jerzy i | ['gotfryd z bouillon']
jerzy kawalerowicz | ['mel gibson']
jerzy skolimowski | ['krzysztof kieślowski']
jerzy skolimowski | ['ryszard bugajski']
jerzy urban | ['ryszard miazek']
jesion | ['żołądź']
jezioro łabskie | ['morskie oko']
joe turner | ['louis armstrong']
johannes gutenberg | ['gutenberg']
jolanta skolimowska | ['krystyna chojnowska-liskiewicz']
joséphine | ['józefina']
julian ursyn niemcewicz | ['jonathan swift', 'swift']
juliusz kossak | ['jan matejko']
juliusz kossak | ['jan matejko']
juliusz kossak | ['jan matejko']
juliusz kossak | ['jan matejko']
juliusz kossak | ['jan styka i wojciech kossak', 'wojciech kossak i jan styka']
juliusz kossak | ['marcello bacciarelli', 'bacciarelli']
juliusza słowackiego | ['adama mickiewicza']
jurij gagarin | ['siergiej korolow', 'korolow']
józef ignacy kraszewski | ['juliusz verne', 'verne']
józef maria hoene-wroński | ['otto lilienthal']
józef piłsudski | ['adam koc', 'koc']
józef piłsudski | ['ferdinand foch', 'foch']
józef piłsudski | ['józef haller']
józef stalin | ['gieorgij żukow', 'żukow']
kabaret starszych panów | ['kabaret tey', 'tey']
kabina | ['loża']
kabury | ['pumpy']
kaczek | ['polska rasa kur', 'kur']
kalifornia | ['alaska']
kambr | ['paleozoik']
kambrium | ['kambr']
kampuchea | ['kambodżę']
kanał la manche | ['cieśnina gibraltarska']
kanał la manche | ['cieśnina magellana']
kangur | ['kankan']
kanony | ['prawo kanoniczne']
kapitan | ['bosman']
kapłani | ['kochanki']
karetki | ['tobogan']
kaskad | ['appalachów']
kaszka | ['cisza']
kaszkiet | ['szapoklak']
kaszmir | ['rękawy']
kaszuby | ['czajki']
katarakta | ['zaćma']
kaukaz | ['ural']
kawalerzystwo | ['legiony']
kazimierza jagiellończyka | ['zygmunta i starego']
ketling | ['michał']
ketling | ['sabała']
kierowniczka | ['guwernantką']
kieszonka | ['turniura']
kinetyka | ['dynamika']
kisiel | ['kutia']
klarnet | ['banjo']
klasyczne | ['instrumenty perkusyjne', 'perkusyjne']
klify | ['głazy narzutowe']
klika | ['janczary']
klika | ['stęp']
klincz | ['garda']
klincz | ['nokdaun', 'knockdown']
klitajmestra | ['elektra']
kmicic | ['dyndalski']
knyszyn | ['chałupy']
kocyk | ['jasiek']
kokony | ['gąsienice']
kolana | ['głowę']
kolarstwo | ['boks']
kolumna sykstyńskiego | ['kasztany']
komar | ['stonka ziemniaczana']
komary | ['mrówki']
kombinat | ['kołchoz']
komora | ['panewka']
kompas | ['log']
komuny | ['jakobini']
konferencje | ['dożynki']
konfiskata | ['sekularyzacja']
konie | ['zebry']
konnica | ['szwoleżerowie']
konną | ['rowerem']
konserwacja | ['fosylizacja']
kontradmirał | ['admirał']
kopia | ['pika']
koszuli | ['powierzchni', 'ziemi']
koziorożca | ['równik']
krasickiego | ['króla kornwalii marka', 'marka']
krasnal | ['kulfon']
krasnal | ['szczawniczanin']
kreda | ['mezozoik']
kreseczka | ['krzyżyk']
kruchość | ['zmęczenie materiału']
krwawy spisek | ['zbrodnia w afekcie']
kryształ | ['witraż']
krytyka | ['manko', 'niedobór']
krzemowa | ['tetroda']
krzemu | ['kwarcu']
krzysztof zanussi | ['andrzej wajda', 'wajda']
krzywoliniowe | ['łożyska']
krzyż | ['fortuna']
krzyżyk i krzesełko | ['łyżka i widelec', 'widelec i łyżka']
krzyżówka | ['jolka']
krzyżówka | ['kondor']
krzyżówka | ['nandu']
krzyżówka | ['wszystko']
krzyżówki | ['żurawie']
króla artura | ['świętego graala', 'graala']
królestwem | ['republiką']
królestwo prus | ['do szwecji']
króliki | ['abakany']
króliki | ['bermudy']
krów | ['ludźmi']
krówka | ['samica']
krąg | ['suwak']
krąlika | ['sękacz']
kręgowce | ['kałamarnice olbrzymie']
krętki | ['pijawki']
kserokopia | ['balotaż']
księga jozuego | ['księga powtórzonego prawa', 'deuteronomium']
księżyc | ['satelita']
kupno złodziejskie | ['paserstwo']
kursowanie | ['hossa']
kurtka | ['rodzaj kurtki']
kwadrat | ['kiełbasa']
kwadrat | ['okrągły']
kwadrat | ['sześcian']
kwadrat | ['trójkąt']
kwarc | ['laluś']
kwartalnik | ['miesięcznik']
kwas acetylosalicylowy | ['atropina']
kwasek | ['aperitif']
kwasu octowego | ['azotowego']
kwiat | ['liść']
kwiat | ['nie ma rąk', 'nic']
kwiat szczęścia | ['dzięcielina']
kwiatostan | ['pręcik']
kładły się na ogień | ['odcinały prawą pierś']
kłąb | ['falanga']
kłąb | ['łyko']
lady pank | ['helena modrzejewska']
lalka | ['„emancypantki”']
landy | ['regiony']
lasy tropikalne | ['morza']
lawa | ['morena']
lawenda | ['oset']
laz | ['arkan']
lech wałęsa | ['charles de gaulle', 'de gaulle']
lech wałęsa | ['jacek kuroń']
lech wałęsa | ['ryszard kaczorowski']
lednica | ['hańcza']
lekarzem | ['prawnikiem']
lekceważący | ['lwie serce']
lenina | ['stachanowiec']
leo gorcey | ['richard chamberlain']
leptyna | ['prolaktyna', 'laktotropina']
lewobrzeżna | ['burta']
lewy | ['medycynę']
licencjat | ['absolutorium']
licencjat | ['liga ochrony przyrody']
liczby | ['mnożenia']
liczebnik | ['deklinacja']
lignina | ['bursztyn']
linia siegfried | ['wał atlantycki']
liny | ['baretka']
liściastym | ['drzewem iglastym', 'iglastym']
liść tymianku | ['macierzanka']
lyon | ['wiedeń']
maestro | ['glenn miller']
major | ['kapitana']
malarz morski | ['marynista']
mandarynka | ['żuchwa']
manifestacja patriotyczna | ['czarna procesja']
marcus junius brutus | ['gladiatorzy']
maria | ['hanka ordonówna']
maria | ['weronika']
maria stader | ['halina czerny-stefańska']
marsa | ['neptun']
maryla rodowicz | ['baśka']
maryla rodowicz | ['trubadurzy']
matką | ['siostrą']
małgorzata gnatowska | ['renata mauer-różańska', 'mauer']
małolat | ['obywatel g.c.']
metodystą | ['kalwinem']
michael strogoff | ['phileas fogg', 'filip fogg', 'fileas fogg', 'fogg']
michaiła bułhakowa | ['doktor żywago']
michał friedric | ['jan heweliusz']
michał sokolnicki | ['tadeusz kościuszko']
mieszko i | ['bolesław i chrobry']
mikołaj ii | ['mikołaj ii aleksandrowicz romanow']
miliardy | ['kamienie milowe']
mięsożerne | ['roślinożerne']
monitor | ['monitor komputerowy']
morele | ['gruszki']
morele | ['muchomory']
morski | ['nie ma zapachu', 'jest bezwonny']
mostem kwadratowym | ['tagu']
mostowe | ['myto']
motocross | ['żużel']
mount everest | ['annapurna']
mountain bike | ['kolarstwo górskie']
mufinki | ['bezy']
muminek | ['tatuś muminka']
muszka | ['makutra']
musztarda | ['talk']
muzeum książąt mazowieckich | ['pałac pod blachą']
muzyka | ['kaliope']
męski | ['damski']
męskiego | ['kobiecego']
na cokole adama mickiewicza | ['na cokole pomnika grunwaldzkiego']
na czerwony | ['na szaro', 'szary']
na czterech | ['na pięciu', 'pięć', '5']
na fletach | ['na cymbałach']
na fletach | ['na saksofonie']
na j.f. kennedy'ego | ["na generała de gaulle'a", "de gaulle'a"]
na kortach ziemnych | ['na trawiastej']
na krzyż | ['równolegle']
na manowce | ['w pole']
na pianinie | ['na skrzypcach', 'skrzypce']
na pytanie kto | ['kto? co?']
na rękę | ['na głowę']
na saksofonie | ['na klarnecie']
na saksofonie | ['na skrzypcach', 'skrzypce']
na saksofonie | ['na skrzypcach', 'skrzypce']
na saksofonie | ['na trąbce']
na szyponce | ['na wiolonczeli']
na ukradzionym | ['na gorącym']
na watykanie | ['na haiti']
na widelce | ['na płotek']
na wilczym | ['na niedźwiedziu']
na wyspie sycylia | ['na sycylii']
na zewnątrz | ['wewnątrz']
na zewnątrz | ['wewnątrz ciała']
na „k” | ['na literę a', 'na a', 'a']
nad wisłą | ['nad czarną hańczą']
nad wisłą | ['nad nogatem']
nad wisłą | ['nad tybrem', 'tyber']
najemne | ['czambuły']
napoleon | ['brytyjczycy', 'anglicy']
napoleone bonaparte | ['michaił kutuzow']
nastasja | ['matylda']
nato | ['onz']
nawy | ['prezbiterium']
nbp | ['narodowy bank polski']
nello | ['ludwik solski', 'solski']
neptuna | ['papieża']
nerona | ['klaudiusza']
neurologią | ['matematyką']
neutron | ['proton']
nicolaus | ['jan', 'johannes']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie sąsiadują ze sobą | ['tworzą jedną całość']
niechęć | ['sympatia względem obcych', 'sympatia']
niels bohr | ['max planck']
niemiec | ['z wojskami szwecji', 'szwecji']
niemiec i polski | ['trzech', '3']
niesforne wąsy | ['długim nosem']
niesprzeczne | ['liczby pierwsze']
nieszawa | ['kujawy']
nieuk | ['głupiec uczony']
nikita chruszczow | ['gieorgij malenkow']
nikolas i | ['aleksander ii romanow']
nitryle | ['azotany']
niższe warstwy społeczne | ['z chłopstwa', 'chłopi']
nowa gwinea | ['tahiti']
nowego roku | ['6 stycznia']
nowoczesna forma wiersza | ['dźwiękonaśladownictwo']
nowy jork | ['bronx']
nowy jorker | ['empire state building']
o jezusie | ['o pasterzy']
o krety | ['o atlantydzie']
o nazwę | ['o słowa']
o niskiej | ['wysokiej']
o stanisława wyspiańskiego | ['o wojciecha pszoniaka']
ocean | ['morze kaspijskie']
ocean pacific | ['pacyfik']
oceania | ['australię']
oceanu spokojnego | ['oceanu atlantyckiego', 'atlantyku']
octowy | ['mlekowy']
oczy | ['nogi', 'nogi roztańczone']
od 1948 | ['od 1890']
od kurzu | ['żywica']
odwrotnie | ['z przedsionków do komór']
ogon | ['ogarek']
ojcem | ['bratem']
ojcem | ['bratem']
olbrzymim | ['był kotem']
oleksander shatunovszkij | ['serhij bubka', 'bubka']
ona | ['on']
order powstania warszawskiego | ['warszawski krzyż powstańczy']
order św. stanisława | ['order orła białego']
ordynaryjne | ['liczebniki porządkowe', 'porządkowe']
orestes | ['herakles']
organizacji narodów zjednoczonych | ['światowej organizacji zdrowia']
osica | ['biskupin']
osioł | ['baktrian']
owce | ['sowy']
pakistanu | ['na terenie pakistanu']
panorama | ['pejzaż']
panteon | ['panteon narodowy']
papilony | ['linie papilarne']
paprotki | ['rybki akwariowe']
papuga | ['szpak']
parasol | ['wachlarz']
park monceau | ['lasek buloński']
parzydełkami | ['włoskami']
paski | ['lampasy']
paweł | ['maciej']
państwowy zespół folklorystyczny | ['„mazowsze”']
perkusyjnym | ['instrumentem strunowym', 'strunowym']
pełnia | ['nów']
pierścionek | ['bransoleta']
pijawka | ['kameleon']
piotr klajn | ['fidiasz']
piramida żywieniowa | ['łańcuch pokarmowy']
piramidy w gizie | ['salomona', 'jerozolimskiej']
pirydoksyna | ['kwas nikotynowy']
pis | ['samoobrona']
pismem cuneiformowym | ['klinowym']
pius xii | ['jan paweł i']
piątkowo | ['okocim']
piętnaście | ['trzydzieści pięć', '35']
pięć | ['osiem', '8']
pięć | ['pięćdziesiąt dwa', '52']
pięć | ['sześćdziesiąt dwa', '62']
pięć razy w tygodniu | ['co tydzień', 'co sobotę', 'w każdą sobotę']
plantacja | ['folwark']
po i | ['po i wojnie światowej', 'po i wojnie', 'po pierwszej', '1']
po polsku | ['po łacinie']
po wodzie | ['po śniegu']
po wojnie syberyjskiej | ['po i wojnie światowej', 'po i wojnie', 'po pierwszej', '1']
pod warszawą | ['pod lipskiem', 'lipsk']
podczas wojen północnych | ['wojny punickie']
pojedynczej | ['tylko w liczbie mnogiej']
polacy | ['tatarzy', 'wojska tatarskie', 'mongołowie', 'wojska mongolskie']
polaków | ['kurpie']
polaris | ['gwiazda polarna']
polityka | ['„trybuna ludu”']
polska | ['holandia']
polski | ['danii']
polski | ['na białorusi']
polski | ['na terenie słowenii', 'w słowenii']
polski | ['w polsce']
polskiego państwa podziemnego | ['organizacji harcerzy zhp', 'związku harcerstwa polskiego', 'harcerzy']
powstania styczniowego | ['listopadowego']
poznań | ['toruń']
praga | ['paryż']
prasowanie | ['dekatyzacja']
prawomocne | ['aklamacja']
prusacy | ['hodon', 'margrabia hodon']
przed godziną 22 | ['przed trzynastą', '13']
przelew | ['czek']
przez imieniem katarzyna | ['katarzyna ii wielka']
przez indonezję | ['przez peru', 'peru']
przez stanisława żółkiewskiego | ['jana karola chodkiewicza']
przez sześć | ['jeden', '1']
przez trzy | ['nigdy', 'wcale', 'zero', '0']
przez włochy i szwajcarię | ['przez hiszpanię i portugalię', 'przez portugalię i hiszpanię']
przymiotnik | ['idiom']
przysłówek | ['przymiotnik']
przysłówki | ['spójnik']
prędkość | ['przyspieszenie']
pterodactyli | ['archozaury']
pupil | ['źrenica']
pułkownik | ['porucznika']
pyreneusy | ['pireneje']
pythagoras | ['tales z miletu', 'tales']
późny romantyzm | ['pozytywizm']
płodne kobiety | ['baby kamienne']
płyn | ['placebo']
quo vadis | ['litwos']
rada nadzorcza | ['zarząd']
radium | ['rad']
raphael | ['rafael santi']
raz na sześć lat | ['nigdy', 'wcale', 'zero', '0']
raz w tygodniu | ['co tydzień', 'tygodnik']
refleks | ['tęcza']
regresja | ['akomodacja']
rektor | ['dziekan']
rembrandt | ['rembrandt van rijn']
remisja | ['rekonwalescencja']
ren | ['loara']
ren | ['marna']
rewaluacja | ['denominacja']
robert alexander watson-watt | ['john logie baird', 'baird']
robert boyle | ['gabriel fahrenheit']
robert korzeniowski | ['jacek wszoła']
robert millikan | ['joseph john thomson', 'thomson']
robert stephenson | ['richard trevithick']
robert sycz | ['mateusz kusznierewicz']
rock hudson | ['james dean', 'dean']
romantyzmu | ['klasycyzmu']
rosji | ['francji', 'francuskie']
rosyjskiej | ['był gruzinem', 'gruzin']
rozpraszające | ['skupiające']
rozwieranie | ['bigowanie']
rudolf | ['diesel']
rudolf | ['kermit']
rudolf nureyev | ['michaił barysznikow']
ruhrstahl | ['friedrich krupp ag', 'krupp']
rumunii | ['japonii']
rynek | ['długi targ']
rzym | ['paryż']
ręczny wagonik szynowy | ['drezyna']
saksofon | ['kontrabas']
sarna | ['kangurzątko', 'kangur']
saszetka | ['mandragora lekarska']
sean connery | ['pierce brosnan']
seismologia | ['tektonika']
sejm | ['zgromadzenie narodowe']
sejm czartoryskich | ['familia']
sekwana | ['wisła']
serbowie | ['albańczycy']
seweryn | ['tuhaj-bej']
sherlocka holmesa | ['kojaka', 'theo kojaka']
sherpa | ['szerpowie']
sidi | ['szejk']
sierp | ['lemiesz']
sierściówka | ['kombajn']
sieć | ['pilica']
sigmund august | ['jan ii kazimierz waza']
sigrid undset | ['władysław reymont', 'reymont']
sinfonia | ['uwertura']
sirocco | ['deflacja']
siłę | ['napięcie elektryczne', 'napięcie']
skała śmierci | ['skała tarpejska']
skok | ['wolej']
skok wzwyż | ['boks']
skrzat | ['zapiecek']
skytree | ['wieża tokijska', 'tokyo tower']
snieżka | ['gerlach']
sodu | ['sód']
sofokles | ['ajschylos']
