"akropolis" | ['„wesele”']
rosja | ['we włoszech']
rower typu cruiser | ['bicykl', 'welocyped']
ryby | ['skorpion']
rysy | ['mont blanc']
rzym | ['w rzymie']
równoboczny | ['kwadrat']
saksofon i trąbka | ['na saksofonie']
saryf | ['ramzes']
saskia van uylenburgh | ['żoną']
saturn | ['wenus']
schatzkammer | ['fiskus', 'fiscus']
scott standard postage stamp catalogue | ['klaser']
sejm rp | ['sejm']
seweryn był sługą cezarego baryki | ['ojcem']
short circuit | ['klincz']
siedmiu | ['dwoje', '2']
sierpień liczy 28 dni | ['31']
skoki narciarskie | ['kolarstwo']
skrzypce i pióropusz | ['lira']
sokoła | ['wydrę']
squatter | ['dziki lokator']
stanisław mikulski odgrywał rolę porucznika „krzyżaka” w serialu „stawka większa niż życie” | ['hansa klossa']
stolarz, krawiec, szewc i kowal | ['szewcy']
stopa | ['sążeń']
sudan | ['libia']
sydney, australia | ['w sydney']
symbol zła | ['diabłem']
szwecja walczyła po stronie aliantów w obu wojnach | ['była neutralna']
słowo „pater” oznacza ojca | ['ojciec']
tadeusz kościuszko | ['piotr wysocki']
tadeusz łomnicki | ['roman wilhelmi']
tajlandia | ['na tajwanie']
tajlandia | ['w danii']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['„szaleństwa panny ewy”']
tatry | ['w tatrach']
tatry | ['w tatrach']
tchawica główna, tchawica lewa i tchawica prawa | ['oskrzela']
ten, kto nie ma wiedzy lub doświadczenia | ['jednooki']
terytorium zarządzane przez dwa państwa nazywa się strefą buforową | ['kondominium']
the great gatsby | ['„noce i dnie”']
the tales of hoffmann | ['pan wołodyjowski']
the thorn birds | ['„ptaki ciernistych krzewów”']
ti | ['tytan']
toque | ['biret']
trylogia śródziemnomorska | ['trylogia']
trzech królów | ['trzech', '3']
twarz pinokia zmieniała kolor na czerwony | ['nos']
tworzenie sztuki | ['byli śpiewakami operowymi', 'śpiewem operowym']
u kowala | ['rzym']
uchwała wotum nieufności | ['wotum nieufności']
uncja | ['libra', 'pondus']
uniwersytet harvarda | ['harvard']
vernissage | ['wernisaż']
w azji | ['azji']
w krakowie | ['krakowa']
w wieku 19 lat | ['w xix', '19']
w wieku 40 lat | ['w xix', '19']
waga brutto | ['brutto']
walt disney productions | ['walt disney']
waterloo, belgia | ['pod waterloo']
watykan | ['ze szwajcarii']
wielka brytania | ['z anglii']
willa atma | ['atma']
wilno | ['kraków']
wilno | ['w wilnie']
wodny pająk | ['topik']
województwo pomorskie | ['w pomorskim']
wojna domowa w hiszpanii | ['hiszpańskiej']
wojny, zwycięstwa i męstwa | ['wojny']
wykres eeg | ['eeg', 'elektroencefalogram']
wyspy ussa i ulla | ['na bergamutach']
wzgórze wawelskie | ['wawel']
wójt | ['kasztelan']
węgier | ['był węgrem']
węglik wapnia | ['karbid']
węgry | ['węgier']
zakopanie broni | ['topór']
zdobycie wszystkich 14 szczytów o wysokości powyżej 8000 metrów | ['najwyższe szczyty kontynentów']
zespół ludowy "mazowsze" | ['mazowsze']
zeus miał 9 córek z mnemosyne | ['dziewięć', '9']
zmiana robotnicza | ['szychta']
zygmunt bauman | ['leszka kołakowskiego']
łańcuszek albert | ['dewizka']
łyżwy strunina | ['panczeny']
ślimaki lub żabie udka | ['z ryb']
środa popielcowa | ['tłusty czwartek']
św. piotr | ['piotr']
święty antoni z padwy | ['antoni']
„ad exemplum” oznacza „na przykład” | ['na przykład']
„in vitro” oznacza „w szkle” | ['w szkle']
„opus magnum” oznacza „największe dzieło” | ['wielkie dzieło']
„out of africa” | ['karen blixen']
„pro publico bono” oznacza „dla dobra publicznego” | ['dla dobra publicznego']
„ręką własną” | ['własnoręcznie']
„w przeciwieństwie do” lub „odwrotnie” | ['i wzajemnie', 'i na odwrót']
